hospid,hospname,city,zipcode,owner,beds,church,zip,othernfp,forprofit,countyowner,ER,burncare,CICU,NICU,alternate_birthing,hospice,alcohol_rehab,drug_rehab,ctscan,MRI,PET_scan,lithotripsy,heartsurgery,cardiaccath,homehealth,residency_program,radiation_therapy,physical_rehab,transplant,trauma,occupancy,clinic_visits,ER_visits,surgeries,OPTsurgeries,currentassets,PPE,accumulated_depreciation,total_assets,current_liabilities,longterm_debt,chargestot,chargesIPT,chargesOPT,chargesANC,deductions,otherrevenue,net_revenue,patient_revenue,totexpenses,iptexpenses,ambexpenses,ancexpenses,resexpenses,edexpenses,adminexpenses,netincome,l_pr,l_or,l_admin_exp
40802,BIGGS-GRIDLEY MEMORIAL HOSPITAL,GRIDLEY,95948,BIGGS GRIDLEY MEMORIAL HOSPITAL,49,0,95948,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.300363421,,7889,922,,2420360,2245703,-5033290,4705491,6202209,74193,23048076,2926916,4612795,15508366,13680529,49913,9417461,9367548,11262053,1879441,2925114,3496267,,,2604551,-1844592,16.05276108,10.81803703,14.77277088
40875,FEATHER RIVER HOSPITAL,PARADISE,95969,NORTHERN CA CONF. OF SDA,134,0,95969,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,1,0.42711103,3817,19151,2648,,13313403,15829739,-33707532,35815344,11895742,17979960,153080752,23979852,16979984,112120912,107518888,769540,46330844,45561304,46927264,8177498,4732818,17221644,,,14136835,-596423,17.63456917,13.55354786,16.46429443
40937,OROVILLE HOSPITAL,OROVILLE,95966,OROHEALTH CORPORATION,120,0,95966,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0.684840143,51110,39213,4101,,14519313,24660020,-24752840,42477136,24578660,26955808,150044848,30612352,21134004,98298488,88007720,581747,62618872,62037124,71198136,10074041,8915296,23849246,,,17734078,-8579265,17.94324303,13.27379131,16.69099808
40962,ENLOE MEDICAL CENTER,CHICO,95926,ENLOE HEALTH SYSTEMS,261,0,95926,1,0,0,1,0,1,1,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,0.795643747,,35982,11180,,44893468,63754040,-99872008,121940408,28696464,72625344,562555328,140831712,66469944,355253696,388668928,2717759,184598944,181881184,189616544,35920284,20606756,63356460,,,50932976,-5017596,19.01886368,14.81531811,17.74602127
50932,MARK TWAIN ST. JOSEPH'S HEALTHCARE CORPORATION,SAN ANDREAS,95246,MARK TWAIN ST. JOSEPH'S HEALTHCARE CORPORATION,60,0,95246,1,0,0,1,0,1,0,1,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,0.401872158,,9920,1052,739,9810850,16719140,-8738326,28017132,3660646,9155000,62820640,11431160,6651244,44738232,35094400,452854,28179092,27726238,27395220,4328275,5109516,7680580,,,7415741,783873,17.13788986,13.02332497,15.81911564
60870,COLUSA REGIONAL MED. CENTER,COLUSA,95932,COLUSA REG. MED. CENTER,48,0,95932,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0.238470316,1517,6811,888,,3285371,1436136,-264626,5189607,1381296,2204435,23804900,3832785,4490377,15481737,12152695,156980,11809184,11652204,11704250,1980750,1800487,2743432,,,3629385,104934,16.27100563,11.96387386,15.1045742
70904,DOCTORS MEDICAL CENTER--SAN PABLO,SAN PABLO,94806,TENET HEALTH CORPORATION,233,0,94806,0,1,0,1,1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0.543723941,5234,38057,12542,,39630600,38550644,-24040186,84961128,17949856,,967924480,193716672,47766520,726441280,830764288,3046410,140206608,137160192,148115696,37011064,7260114,51079064,,,45359800,-7909095,18.73666,14.92947483,17.63013649
70934,SUTTER DELTA MEDICAL CENTER,ANTIOCH,94509,SUTTER DELTA MEDICAL CENTER,111,0,94509,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0.616240919,,47289,4699,,19372620,32576126,-38492324,103102960,12158880,49919948,257318912,81868824,21881844,153568240,177127408,685901,81205912,80520016,68493816,15484762,5173300,20705048,,,21518848,12712099,18.20401573,13.43848896,16.88443947
70988,JOHN MUIR MEDICAL CENTER,WALNUT CREEK,945983194,JOHN MUIR/MT. DIABLO HEALTH SYSTEM,276,0,94598,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,0.858755171,1806,42595,19515,,85383168,76069592,-140463504,202221056,40539896,78338752,1082726912,378857344,54491068,649378560,770208832,40606500,358329248,317722752,295680928,55774760,19548978,116104296,,,81134760,62648328,19.57668877,17.51943779,18.21162224
71018,MT. DIABLO MEDICAL CENTER,CONCORD,94520,JOHN MUIR/MOUNT DIABLO HEALTH SYSTEM,254,0,94520,1,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0.491705328,7672,43130,4897,,32229172,83780192,-117848208,122495400,33015432,77440984,724150336,210077120,31599518,482473696,552537088,2673793,174611968,171938176,148428592,30361040,8426378,58116080,,,38423028,26183388,18.96264458,14.79900837,17.46416664
74017,SAN RAMON REGIONAL MEDICAL CENTER,SAN RAMON,94583,TENET HEALTHCARE CORP,123,0,94583,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0.530482233,3994,20192,6823,,22222220,71757240,-32253228,94313656,17590130,,523559648,92956664,21078900,409524064,422755552,579609,101383696,100804088,89220760,15137264,2825741,34848768,,,33868904,12162936,18.42868996,13.27010918,17.33800697
84001,SUTTER COAST HOSPITAL,CRESCENT CITY,95531,SUTTER COAST HOSPITAL,59,0,95531,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.527791977,,16122,4635,,8848921,19666602,-22773232,35691272,5728983,16696846,78262640,12341773,14131713,51789156,36071296,235625,42426972,42191348,38911960,5903087,4764303,10699707,,,11783344,3515010,17.55772591,12.36999702,16.28219795
90793,BARTON MEMORIAL HOSPITAL,SOUTH LAKE TAHOE,96150,BARTON MEMORIAL HOSPITAL,123,0,96150,1,0,0,1,0,1,1,1,1,1,0,1,1,0,0,0,0,1,0,0,1,0,1,0.659850776,,21774,3495,1391,21516424,23147182,-37059868,72932864,16388837,8315954,125682480,20961268,12313215,92408000,52859744,601487,73424224,72822736,62999292,9401047,5828917,20244716,,,21071752,10424933,18.10353851,13.30716038,16.86344337
90933,MARSHALL HOSPITAL,PLACERVILLE,95667,MARSHALL HOSPITAL,103,0,95667,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,1,0,1,0.639765918,5015,24030,5033,5171,30425748,41703176,-54981656,102297688,27567620,40098300,185852432,30467350,18452288,136932800,105035728,808228,81624928,80816704,73612216,12419503,10614378,21404156,,,22983384,8012717,18.20769501,13.60259914,16.95028114
100005,COMMUNITY MEDICAL CENTER CLOVIS,FRESNO,93612,COMMUNITY MEDICAL CENTERS,100,0,93612,1,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0.677643836,,30978,6505,,10264902,19908300,-34961368,58643752,54987680,31329714,160464160,27620636,13411239,119432288,96876200,468675,71895088,71426416,66884552,13454286,4599629,23798656,,,16640446,5010538,18.08417892,13.05766487,16.62734604
100697,COALINGA REGIONAL MEDICAL CENTER,COALINGA,93210,COALINGA HOSPITAL DISTRICT,76,0,93210,0,0,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.590447009,,6925,64,,1667515,10182357,-9121009,13359913,5396640,10053436,16649486,7783322,1626864,7239300,8703468,49999,7996017,7946018,10447649,2533145,980510,2039274,,,3097797,-2451632,15.88818169,10.81975842,14.94620132
100717,COMMUNITY MEDICAL CENTER FRESNO,FRESNO,937151232,COMMUNITY MEDICAL CENTERS,755,0,93715,1,0,0,1,1,1,0,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,1,0.591621161,,106479,14484,,248787552,57041112,-91004888,665027776,62225940,225523328,939625664,159031232,83548672,697045696,572440704,13890072,394962912,381072832,392968640,75042504,33474544,133045680,,18296628,104642320,1994247,19.75850105,16.44668579,18.46605873
100745,KINGSBURG DISTRICT HOSPITAL,KINGSBURG,93631,KINGSBURG DISTRICT HOSPITAL,35,0,93631,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.677651644,8366,6249,578,,1591351,708002,-2125295,2514961,1889004,1730000,10640268,2513350,2609408,5517510,5043158,133471,5730581,5597110,5623710,1110963,675905,1010903,,,1815827,106871,15.53776073,11.80163956,14.4120512
100791,SANGER GENERAL HOSPITAL,SANGER,93657,SANGER GENERAL HOSPITAL A GENERAL PARTNERSHIP,26,0,93657,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0.168598518,,,41,,993842,178159,-1175774,1178050,5411123,850113,3991242,611308,,3379934,3082335,80780,989687,908907,2777390,341339,,873938,,,1109556,-1787703,13.71999836,11.29948425,13.91947079
100793,SELMA COMMUNITY HOSPITAL INC.,SELMA,93662,ADVENTIST HEALTH,25,1,93662,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.925589025,,17382,1718,,3856114,6028230,-2481193,11146270,6243913,10390444,90833040,17225284,13654474,59953280,69453680,324972,21704328,21379356,21881604,2539230,2657367,6516187,,,8012738,-177275,16.87793541,12.69149399,15.8965435
100797,SIERRA KINGS HEALTH CARE DISTRICT,REEDLEY,93654,SIERRA KINGS HEALTH CARE DISTRICT,39,0,93654,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.398454517,38888,12722,1164,887,5229626,9151143,-8741682,15525164,3341716,7412901,34305744,3280905,11373082,19651760,17257264,98320,17152220,17053900,17005240,2094574,2004323,4589158,,,4835377,146981,16.6518898,11.49598312,15.39146996
100899,SAINT AGNES MEDICAL CENTER,FRESNO,93720,TRINITY HEALTH,330,0,93720,1,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,0.797932744,10314,51640,8614,9741,60553280,116949536,-144961040,354384768,33978440,59591528,692890368,101440824,67060084,524389472,429455872,5277054,268711552,263434496,255598368,40608816,16081346,101604936,456102,,80726128,13113185,19.38931465,15.47887897,18.20657349
104047,FRESNO SURGERY CENTER,FRESNO,93710,"FSC HOSPITAL LLC & FSC HEALTH, INC.",20,0,93710,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.651095867,,,16925,,12722440,13199560,-11882269,32688180,5478913,13270017,70485544,5481894,,65003648,45164208,196253,25517588,25321334,26152602,2360345,,11482789,,,11535302,-635015,17.04715729,12.18715954,16.26092339
110889,ENLOE MEDICAL CENTER,WILLOWS,95988,ENLOE HEALTH SYSTEM,15,0,95988,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.059908677,13470,2410,49,,1471737,253366,-710061,1730594,256031,,10603746,445655,4132680,6025411,5711516,14601,4977868,4963267,5717774,369735,1303322,1510462,,,1631268,-739906,15.41757488,9.588845253,14.30486774
121002,AMERICAN HOSPITAL MANAGEMENT CORPORATION,ARCATA,95521,AMERICAN HOSPITAL MANAGEMENT CORPORATION,68,0,95521,0,1,0,1,1,1,0,1,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1,0.437107146,8295,16834,3546,,10314797,4421727,-11160077,16572843,13257133,575426,69530408,9744745,7241209,52544456,40930924,273982,28873466,28599484,30458478,4033436,3535234,12663782,,,8579799,-1585012,17.16889954,12.52081776,15.964921
121031,JEROLD PHELPS COMMUNITY HOSPITAL,GARBERVILLE,95442,SOUTHERN HUMBOLDT COMMUNITY HEALTHCARE DISTRICT,15,0,95442,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0.578082204,13861,2490,,,963458,760418,-1922579,1741930,2695069,518341,4765737,1025797,2556244,1183696,1727515,65765,3103987,3038222,4066910,595177,553695,487880,,,1549724,-962923,14.92678261,11.09384346,14.25358772
121051,REDWOOD MEMORIAL HOSPITAL,FORTUNA,95540,ST. JOSEPH HEALTH SYSTEM,53,0,95540,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0.349030763,8546,11831,2025,,5935727,9112505,-12425139,24239296,6428268,2200038,50437164,6848785,5720313,37868064,31204000,147790,19380954,19233164,19909606,3602347,1517417,6492963,,,6550771,-528652,16.77214622,11.90354729,15.69509315
121080,ST. JOSEPH HOSPITAL EUREKA,EUREKA,95501,ST. JOSEPH HEALTH SYSTEM,206,0,95501,1,0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,1,0,0,1,1,0,0,0.431905836,32329,24275,11932,,21582808,44639768,-43763536,112876536,14971395,89975152,262355008,37188076,11566217,213600704,166863488,1182960,96674472,95491512,102028824,16223245,5281641,40239032,,,30256472,-5354349,18.37454796,13.98353004,17.22521973
130699,EL CENTRO REGIONAL MEDICAL CENTER,EL CENTRO,92243,"CITY OF EL CENTRO , CA.",107,0,92243,0,0,0,1,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0.62921524,,29023,3874,,20913138,11527054,-24108180,85921360,10633495,40740060,128247320,24931892,11388856,91926576,76689488,1069577,52627416,51557840,52465208,8458736,4093735,18381252,,,17333336,162205,17.75821495,13.8827734,16.66814232
130760,PIONEERS MEMORIAL HEALTHCARE DISTRICT,BRAWLEY,92227,PIONEERS MEMORIAL HEALTHCARE DISTRICT,99,0,92227,0,0,1,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.469517082,14201,25324,3488,,12985541,33066596,-26443548,48392436,7021280,24982082,96757768,19515848,9834167,67407752,56983160,573043,40347648,39774608,43075356,8378333,3417449,11561818,,,14306425,-2727706,17.49873924,13.25871563,16.47621918
141273,NORTHERN INYO LOCAL HOSPITAL DISTRICT,BISHOP,93514,NORTHERN INYO COUNTY LOCAL HOSPITAL DISTRICT,32,0,93514,0,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0.262756854,2901,7297,1169,,12178341,8816970,-11056612,28194514,5134614,8423588,35292208,3318763,3087432,28886012,13194144,320488,22418552,22098064,24536648,3126019,1439272,8977041,,,8529553,-2118097,16.91100121,12.67759991,15.95904732
141338,SOUTHERN INYO HEALTHCARE DISTRICT,LONE PINE,93545,SOUTHERN INYO HEALTHCARE DISTRICT,37,0,93545,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.899000347,6392,937,,,1165852,527619,-3362421,1693471,1288355,22436,7035715,3065480,1205366,2764869,2722801,276963,4589877,4312914,4546280,1190822,446987,587099,,,1674189,43597,15.2771244,12.5316391,14.33083916
150706,CENTRAL CALIFORNIA FOUNDATION FOR HEALTH,DELANO,93215,CENTRAL CALIFORNIA FOUNDATION FOR HEALTH,93,0,93215,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0.997437,10866,17441,3338,,29606802,37495648,-18982908,71749432,8413449,43132664,105466160,22900766,4669968,77895432,65023800,897035,43566896,42669864,41590480,9861131,2016079,12364772,,,11438848,1976415,17.56900406,13.70685005,16.25252533
150722,BAKERSFIELD MEMORIAL HOSPITAL,BAKERSFIELD,93302,CATHOLIC HEALTHCARE WEST,385,1,93302,0,0,0,1,0,0,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,1,0,0.573833823,1043,29061,8386,,53217464,62490860,-108378480,134532736,19234818,67502736,402991136,79550816,21123100,302317216,279044256,907921,125390000,124482080,119063496,23528460,4237231,46433504,,,35408316,6326501,18.63967323,13.71891308,17.38245773
150736,COUNTY OF KERN,BAKERSFIELD,933054197,COUNTY OF KERN,187,0,93305,0,0,1,1,0,1,1,0,0,0,0,1,1,0,0,0,1,1,1,0,0,0,1,0.77734971,81862,49861,5550,,63124792,42976916,-44054216,127537680,58779212,51962052,261059408,135421280,20755432,104882680,100626176,1553747,162121520,160567776,146702240,23182984,19173076,30816748,,10949408,44359896,15419275,18.89422607,14.25617981,17.60784721
150737,KERN VALLEY HLTHCARE DISTRICT,LAKE ISABELLA,93240,KERN VALLEY HLTHCARE DISTRICT,101,0,93240,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0.806293249,7930,6836,62,,3610359,9736181,-16467740,14930144,5112973,16366519,37338796,13594972,3034143,20709680,20034256,183947,17488486,17304540,18455860,3757423,1107950,5130035,,,6245448,-967374,16.66647911,12.12240314,15.64736366
150761,MERCY HEALTHCARE BAKERSFIELD,BAKERSFIELD,93301,CATHOLIC HEALTHCARE WEST,261,1,93301,0,0,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,0,0,0,0,0,0.463381082,34090,20481,6102,,20298516,57592008,-150296784,84098944,47548136,24637598,238009952,54764400,23930288,159315264,163813152,2783177,77873328,75090152,92145040,20142452,7500807,25943512,,,31928332,-14271708,18.13419914,14.8391037,17.27900505
150775,GOOD SAMARITAN HOSPITAL CALIFORNIA LIMITED PARTNERSHIP,BAKERSFIELD,93308,ALLIANCE INVESTMENT HC. INC.,30,0,93308,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0.961461127,43,,351,,8049106,549944,-986498,8599050,7017506,9137992,24941536,7770406,1661855,15509275,13900354,228383,11269565,11041182,12374447,2726055,397816,2124726,,,5348471,-1104882,16.21714211,12.33877945,15.49232101
150782,RIDGECREST REGIONAL HOSPITAL,RIDGECREST,93555,RIDGECREST REGIONAL HOSPITAL,80,0,93555,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,0,1,0.362294525,,14154,2475,1391,9573544,11614414,-14636817,38304428,3923003,3698988,66474896,11353309,3906291,51215296,32106368,134902,34503432,34368528,32273184,4512877,2419419,13496140,,,10374298,2230249,17.3526516,11.81230354,16.15484238
150788,SAN JOAQUIN COMMUNITY HOSPITAL,BAKERSFIELD,93301,SAN JOAQUIN COMMUNITY HOSPITAL,168,0,93301,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,1,1,1,0,0,0,0,0,0.772847354,,23662,6023,,35645528,22458456,-39677316,65187952,15801548,14501517,338036704,85515112,27624024,224897568,252430176,1443959,87050496,85606544,83811848,16946060,4984681,28281886,,,30311238,3238654,18.26527214,14.18289948,17.2270298
150808,TEHACHAPI VALLEY HEALTHCARE DISTRICT,TEHACHAPI,93561,TEHACHAPI VALLEY HEALTHCARE DISTRICT,28,0,93561,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.652152658,,9257,37,,2014490,825428,-2939298,2881970,1674698,639943,13876256,2188530,4770761,6916965,6895748,14783,6995291,6980508,7147556,701672,981487,1856492,,,2800124,-152265,15.75863266,9.601233482,14.84517384
160702,CORCORAN DISTRICT HOSPITAL,CORCORAN,93212,CORCORAN HOSPITAL DISTRICT,32,0,93212,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.34700343,,5285,30,,1013805,984604,-1682806,2190908,1528112,2538829,8873802,1635956,786363,6451483,4467987,51915,4457730,4405815,4845471,779350,300432,1151957,,,2146137,-387741,15.29843616,10.85736275,14.57917976
160725,HANFORD COMMUNITY HOSPITAL,HANFORD,93230,ADVENTIST HEALTH,47,1,93230,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,1,0,0,1,0.967356503,,23580,3047,3077,26089304,23278916,-27143588,58484464,25797092,29140628,229528320,33398928,36323688,159805696,162861856,668691,68744776,68076080,60228516,6449310,10434748,17559190,,,17531412,8516260,18.03613663,13.41307735,16.67950439
160787,CENTRAL VALLEY GENERAL HOSPITAL,HANFORD,93230,PACIFIC LIVING CENTERS,24,0,93230,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.976141512,,11774,2118,,10925455,8238094,-6986256,20814420,12925993,20632060,97779304,16313887,23546636,57918784,63258904,98805,34666824,34568020,34791728,3273948,5742371,6617006,,,16625302,-124903,17.3584404,11.50090313,16.62643623
171049,ADVENTIST HEALTH CLEARLAKE HOSPITAL,CLEARLAKE,95422,ADVENTIST HEALTH CLEARLAKE HOSPITAL,32,1,95422,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0.429023981,,16114,1827,,9182291,7463715,-4454868,18427444,9300144,14893097,91089944,11121732,12616436,67351776,60877776,155662,30367826,30212164,31133958,3019769,5646435,8439547,,,9092195,-766132,17.22375488,11.95544243,16.02292633
171395,SUTTER LAKESIDE HOSPITAL,LAKEPORT,95453,SUTTER HEALTH,69,0,95453,1,0,0,1,0,0,0,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,0,0.405519158,22850,14139,3074,,13105534,30796944,-24393870,47466436,5787721,16113646,103226184,14452973,12668151,76105056,58836512,464312,44853984,44389672,44751696,6514525,5777400,13594601,,,13507610,102284,17.60851669,13.04831219,16.41876411
180919,LASSEN COMMUNITY HOSPITAL,SUSANVILLE,96130,BANNER HEALTH SYSTEM,59,0,96130,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0.457952172,,10385,1070,,5473955,1414030,-1542502,25132904,16254563,,38624016,6713815,8183968,23726236,18807106,21752,19838664,19816912,18086968,3082325,2239674,5261847,,,5877259,1751696,16.80204582,9.98746109,15.58660126
190017,ALHAMBRA HOSPITAL MEDICAL CENTER LP,ALHAMBRA,91802,ALHAMBRA LIMITED PARTNERSHIP,144,0,91802,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0.801750362,,13314,4350,,17418892,,,18686240,13038754,,110317928,35479200,2495571,72343160,62125948,289794,54428464,54138668,47823196,12122918,1570827,12963385,,,18364018,6605265,17.80705833,12.57692528,16.72590446
190034,ANTELOPE VALLEY HOSPITAL DISTRICT,LANCASTER,93534,ANTELOPE VALLEY HOSPITAL DISTRICT,318,0,93534,0,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0.780417025,11494,83011,7426,,95049720,101057768,-101621312,236191616,31028364,77814272,547920064,118189512,45837028,383893504,385283296,4068107,174865136,170797024,160497072,33530420,9318223,52757984,,,52701104,14368062,18.95598602,15.21868801,17.78014755
